data,real_Wh,previsto_Wh,erro_Wh
2016-05-07 08:20:00,100.0,97.98365657741655,-2.0163434225834465
2016-05-07 08:30:00,120.0,95.39502594695556,-24.604974053044444
2016-05-07 08:40:00,200.0,112.23280058116728,-87.76719941883272
2016-05-07 08:50:00,130.0,160.9193845118655,30.919384511865502
2016-05-07 09:00:00,80.0,91.550848232978,11.550848232977998
2016-05-07 09:10:00,210.0,69.84457936459562,-140.15542063540437
2016-05-07 09:20:00,240.0,173.35766114988266,-66.64233885011734
2016-05-07 09:30:00,210.0,167.16459166759165,-42.83540833240835
2016-05-07 09:40:00,80.0,122.16207071268123,42.16207071268123
2016-05-07 09:50:00,100.0,48.619797321600466,-51.380202678399534
2016-05-07 10:00:00,90.0,58.34387761533075,-31.656122384669253
2016-05-07 10:10:00,110.0,51.334418533207824,-58.665581466792176
2016-05-07 10:20:00,120.0,74.23073834474506,-45.76926165525494
2016-05-07 10:30:00,360.0,83.08175333969268,-276.9182466603073
2016-05-07 10:40:00,270.0,247.4330900493248,-22.56690995067521
2016-05-07 10:50:00,120.0,137.47647978327888,17.476479783278876
2016-05-07 11:00:00,140.0,45.54876196933142,-94.45123803066858
2016-05-07 11:10:00,120.0,83.72528756480399,-36.27471243519601
2016-05-07 11:20:00,100.0,76.55847144554794,-23.441528554452063
2016-05-07 11:30:00,260.0,66.78542578837772,-193.21457421162228
2016-05-07 11:40:00,250.0,202.36271613885566,-47.63728386114434
2016-05-07 11:50:00,100.0,151.6891889764021,51.68918897640211
2016-05-07 12:00:00,90.0,14.571962439067605,-75.4280375609324
2016-05-07 12:10:00,80.0,34.46211882486614,-45.53788117513386
2016-05-07 12:20:00,100.0,28.564156980602846,-71.43584301939715
2016-05-07 12:30:00,80.0,46.43664024090051,-33.56335975909949
2016-05-07 12:40:00,90.0,49.6422017986673,-40.3577982013327
2016-05-07 12:50:00,80.0,49.42196935050522,-30.578030649494778
2016-05-07 13:00:00,80.0,22.205470511302934,-57.794529488697066
2016-05-07 13:10:00,80.0,46.221017572113176,-33.778982427886824
2016-05-07 13:20:00,70.0,27.846216325130897,-42.1537836748691
2016-05-07 13:30:00,80.0,35.1644002581216,-44.8355997418784
2016-05-07 13:40:00,70.0,50.190246736588094,-19.809753263411906
2016-05-07 13:50:00,70.0,36.59718012143476,-33.40281987856524
2016-05-07 14:00:00,70.0,16.124976507921872,-53.87502349207813
2016-05-07 14:10:00,80.0,15.744123882792465,-64.25587611720754
2016-05-07 14:20:00,100.0,21.868594744635473,-78.13140525536453
2016-05-07 14:30:00,90.0,37.75517718482426,-52.24482281517574
2016-05-07 14:40:00,90.0,25.973392338321318,-64.02660766167868
2016-05-07 14:50:00,100.0,23.27943971267773,-76.72056028732227
2016-05-07 15:00:00,110.0,31.2972768994576,-78.7027231005424
2016-05-07 15:10:00,110.0,37.40263983935501,-72.597360160645
2016-05-07 15:20:00,100.0,35.18643766788781,-64.81356233211218
2016-05-07 15:30:00,110.0,24.697021186920566,-85.30297881307943
2016-05-07 15:40:00,100.0,38.27169066508601,-61.72830933491399
2016-05-07 15:50:00,90.0,25.12337857434312,-64.87662142565688
2016-05-07 16:00:00,100.0,18.32242424965034,-81.67757575034966
2016-05-07 16:10:00,90.0,33.597527792708476,-56.402472207291524
2016-05-07 16:20:00,100.0,23.997640202165456,-76.00235979783454
2016-05-07 16:30:00,90.0,35.87776504027579,-54.12223495972421
2016-05-07 16:40:00,90.0,25.31524441340453,-64.68475558659547
2016-05-07 16:50:00,80.0,27.046685418730235,-52.953314581269765
2016-05-07 17:00:00,90.0,18.994030516137585,-71.00596948386242
2016-05-07 17:10:00,80.0,36.116065839233,-43.883934160767
2016-05-07 17:20:00,90.0,25.156192520916193,-64.84380747908381
2016-05-07 17:30:00,90.0,35.38248783698069,-54.61751216301931
2016-05-07 17:40:00,80.0,36.958633528177614,-43.041366471822386
2016-05-07 17:50:00,70.0,28.6299440516227,-41.3700559483773
2016-05-07 18:00:00,80.0,24.817361094814714,-55.182638905185286
2016-05-07 18:10:00,560.0,33.58591438049076,-526.4140856195093
2016-05-07 18:20:00,630.0,386.6189834390417,-243.3810165609583
2016-05-07 18:30:00,230.0,328.23972731574935,98.23972731574935
2016-05-07 18:40:00,100.0,128.56265135611127,28.562651356111274
2016-05-07 18:50:00,110.0,79.8528661393458,-30.147133860654193
2016-05-07 19:00:00,120.0,101.77880390688726,-18.221196093112738
2016-05-07 19:10:00,130.0,108.82637472969786,-21.17362527030214
2016-05-07 19:20:00,120.0,120.26689795943142,0.26689795943141803
2016-05-07 19:30:00,140.0,90.40525745546144,-49.59474254453856
2016-05-07 19:40:00,100.0,94.09785799165715,-5.9021420083428495
2016-05-07 19:50:00,110.0,63.10420539295342,-46.89579460704658
2016-05-07 20:00:00,100.0,70.33559460670156,-29.664405393298438
2016-05-07 20:10:00,100.0,64.38873377855577,-35.611266221444225
2016-05-07 20:20:00,100.0,76.31260888510624,-23.687391114893757
2016-05-07 20:30:00,100.0,71.9887119063471,-28.011288093652894
2016-05-07 20:40:00,70.0,71.77139696812179,1.7713969681217918
2016-05-07 20:50:00,50.0,59.378665221288564,9.378665221288564
2016-05-07 21:00:00,50.0,53.45806012139929,3.458060121399292
2016-05-07 21:10:00,60.0,62.74177347581594,2.7417734758159398
2016-05-07 21:20:00,60.0,58.631243678470284,-1.368756321529716
2016-05-07 21:30:00,50.0,57.868370618836025,7.868370618836025
2016-05-07 21:40:00,60.0,51.10864758613718,-8.891352413862819
